"","iso_code","country","year","coal_prod_change_pct","coal_prod_change_twh","coal_share_elec","coal_cons_change_pct","coal_share_energy","coal_cons_change_twh","coal_consumption","coal_elec_per_capita","coal_cons_per_capita","coal_production","coal_prod_per_capita","coal_electricity","log_var","rank"
"1","CHN","China",2019,4.23,899.768,64.687,2.31,57.64,512.232,22687.462,3385.25,15823.486,22171.38,15463.542,4853.717,10.0295677160747,1
"2","IND","India",2019,-0.538,-19.114,72.969,0.336,54.669,17.312,5172.223,832.372,3785.242,3536.276,2587.99,1137.368,8.55105785574492,2
"3","USA","United States",2019,-7.13,-304.975,23.937,-14.617,11.982,-539.28,3150.181,3201.585,9573.128,3972.48,12072.023,1053.53,8.05521519048636,3
"4","JPN","Japan",2019,-27.131,-1.809,31.473,-1.73,26.268,-23.991,1362.561,2571.031,10740.67,4.86,38.307,326.161,7.21712129617743,4
"5","ZAF","South Africa",2019,0.415,6.906,86.042,1.418,70.615,14.808,1059.391,3711.264,18091.308,1672.109,28554.754,217.324,6.9654494936996,5
"6","RUS","Russia",2019,-0.272,-6.974,16.293,0.015,12.175,0.151,1008.008,1248.915,6910.219,2555.815,17520.941,182.182,6.91573138510776,6
"7","KOR","South Korea",2019,-9.443,-0.623,40.83,-5.281,27.778,-53.217,954.533,4660.195,18634.124,5.978,116.697,238.719,6.86122221564308,7
"8","IDN","Indonesia",2019,9.363,357.917,63.402,20,38.224,157.695,946.172,653.964,3496.236,4180.391,15447.114,176.98,6.85242437070677,8
"9","DEU","Germany",2019,-20.016,-87.952,27.955,-20.663,17.534,-166.69,640.001,2049.856,7663.117,351.456,4208.195,171.198,6.4614697388525,9
"10","VNM","Vietnam",2019,10.206,27.823,49.485,30.224,50.252,133.451,574.99,1166.552,5960.794,300.44,3114.594,112.528,6.35435264934177,10
"11","POL","Poland",2019,-5.505,-30.264,74.369,-8.364,44.67,-48.438,530.675,3216.824,14006.404,519.498,13711.421,121.879,6.27414978113051,11
"12","AUS","Australia",2019,0.668,24.229,56.389,-3.331,27.819,-17.067,495.309,5931.666,19652.769,3652.209,144911.692,149.496,6.20518181023468,12
"13","TUR","Turkey",2019,0.36,0.693,37.139,-0.838,26.139,-3.981,471.24,1373.167,5648.329,193.138,2314.971,114.563,6.15536751837792,13
"14","KAZ","Kazakhstan",2019,-2.385,-14.121,72.029,-1.928,53.936,-9.13,464.422,4207.62,25034.878,578.059,31160.51,78.056,6.14079362165602,14
"15","TWN","Taiwan",2019,0,NA,46.108,-3.993,33.895,-18.838,452.917,5317.687,19050.937,NA,NA,126.423,6.1157088857376,15
"16","UKR","Ukraine",2019,-2.299,-3.742,31.248,-4.482,32.397,-14.379,306.453,1097.022,6965.78,159.019,3614.568,48.262,5.72506439940903,16
"17","MYS","Malaysia",2019,NA,NA,41.594,-3.195,21.063,-8.229,249.354,2226.399,7804.501,NA,NA,71.133,5.51887357357191,17
"18","PHL","Philippines",2019,0,NA,46.201,6.556,36.043,12.468,202.638,452.3,1874.244,NA,NA,48.901,5.31142113592501,18
"19","THA","Thailand",2019,-6.13,-2.677,19.209,-10.931,12.717,-24.339,198.331,514.538,2848.519,41.002,588.894,35.825,5.28993735210243,19
"20","BRA","Brazil",2019,24.752,6.794,4.113,-5.781,5.289,-11.183,182.244,121.911,863.51,34.243,162.249,25.729,5.20534644853613,20
"21","CZE","Czechia",2019,-8.208,-14.037,42.264,-6.875,35.428,-12.389,167.81,3439.173,15699.343,156.972,14685.408,36.761,5.12283238701307,21
