"","iso_code","country","year","coal_prod_change_pct","coal_prod_change_twh","coal_share_elec","coal_cons_change_pct","coal_share_energy","coal_cons_change_twh","coal_consumption","coal_elec_per_capita","coal_cons_per_capita","coal_production","coal_prod_per_capita","coal_electricity","rank"
"1","CHN","China",2019,4.23,899.768,64.687,2.31,57.64,512.232,22687.462,3385.25,15823.486,22171.38,15463.542,4853.717,1
"2","IND","India",2019,-0.538,-19.114,72.969,0.336,54.669,17.312,5172.223,832.372,3785.242,3536.276,2587.99,1137.368,2
"3","USA","United States",2019,-7.13,-304.975,23.937,-14.617,11.982,-539.28,3150.181,3201.585,9573.128,3972.48,12072.023,1053.53,3
"4","JPN","Japan",2019,-27.131,-1.809,31.473,-1.73,26.268,-23.991,1362.561,2571.031,10740.67,4.86,38.307,326.161,4
"5","ZAF","South Africa",2019,0.415,6.906,86.042,1.418,70.615,14.808,1059.391,3711.264,18091.308,1672.109,28554.754,217.324,5
"6","RUS","Russia",2019,-0.272,-6.974,16.293,0.015,12.175,0.151,1008.008,1248.915,6910.219,2555.815,17520.941,182.182,6
"7","KOR","South Korea",2019,-9.443,-0.623,40.83,-5.281,27.778,-53.217,954.533,4660.195,18634.124,5.978,116.697,238.719,7
"8","IDN","Indonesia",2019,9.363,357.917,63.402,20,38.224,157.695,946.172,653.964,3496.236,4180.391,15447.114,176.98,8
"9","DEU","Germany",2019,-20.016,-87.952,27.955,-20.663,17.534,-166.69,640.001,2049.856,7663.117,351.456,4208.195,171.198,9
"10","VNM","Vietnam",2019,10.206,27.823,49.485,30.224,50.252,133.451,574.99,1166.552,5960.794,300.44,3114.594,112.528,10
"11","POL","Poland",2019,-5.505,-30.264,74.369,-8.364,44.67,-48.438,530.675,3216.824,14006.404,519.498,13711.421,121.879,11
"12","AUS","Australia",2019,0.668,24.229,56.389,-3.331,27.819,-17.067,495.309,5931.666,19652.769,3652.209,144911.692,149.496,12
"13","TUR","Turkey",2019,0.36,0.693,37.139,-0.838,26.139,-3.981,471.24,1373.167,5648.329,193.138,2314.971,114.563,13
"14","KAZ","Kazakhstan",2019,-2.385,-14.121,72.029,-1.928,53.936,-9.13,464.422,4207.62,25034.878,578.059,31160.51,78.056,14
"15","TWN","Taiwan",2019,0,NA,46.108,-3.993,33.895,-18.838,452.917,5317.687,19050.937,NA,NA,126.423,15
"16","UKR","Ukraine",2019,-2.299,-3.742,31.248,-4.482,32.397,-14.379,306.453,1097.022,6965.78,159.019,3614.568,48.262,16
"17","MYS","Malaysia",2019,NA,NA,41.594,-3.195,21.063,-8.229,249.354,2226.399,7804.501,NA,NA,71.133,17
"18","PHL","Philippines",2019,0,NA,46.201,6.556,36.043,12.468,202.638,452.3,1874.244,NA,NA,48.901,18
"19","THA","Thailand",2019,-6.13,-2.677,19.209,-10.931,12.717,-24.339,198.331,514.538,2848.519,41.002,588.894,35.825,19
"20","BRA","Brazil",2019,24.752,6.794,4.113,-5.781,5.289,-11.183,182.244,121.911,863.51,34.243,162.249,25.729,20
"21","CZE","Czechia",2019,-8.208,-14.037,42.264,-6.875,35.428,-12.389,167.81,3439.173,15699.343,156.972,14685.408,36.761,21
"22","CAN","Canada",2019,-5.126,-16.734,8.268,-14.132,3.93,-25.539,155.176,1459.609,4147.866,309.699,8278.283,54.605,22
"23","PAK","Pakistan",2019,45.92,10.472,24.206,11.198,15.463,15.401,152.934,152.398,706.179,33.277,153.656,33.004,23
"24","MEX","Mexico",2019,-5.408,-4.2,7.22,-10.517,6.573,-16.569,140.977,205.993,1105.042,73.461,575.819,26.28,24
"25","ITA","Italy",2019,0,NA,10.454,-19.339,4.675,-19.843,82.764,490.081,1366.866,NA,NA,29.674,25
"26","CHL","Chile",2019,0,NA,20.985,-8.694,17.184,-7.526,79.036,928.799,4170.316,NA,NA,17.603,26
"27","MAR","Morocco",2019,0,NA,34.536,29.423,29.404,17.622,77.515,380.169,2125.318,NA,NA,13.866,27
"28","FRA","France",2019,0,NA,0.736,-23.15,2.786,-22.567,74.915,62.781,1150.243,NA,NA,4.089,28
"29","NLD","Netherlands",2019,0,NA,14.387,-22.484,7.59,-21.472,74.028,1018.565,4329.873,NA,NA,17.414,29
"30","GBR","United Kingdom",2019,-16.06,-3.092,2.129,-17.385,3.345,-15.329,72.846,102.05,1078.722,16.161,239.321,6.891,30
"31","HKG","Hong Kong",2019,NA,NA,61.079,-1.643,20.814,-1.199,71.769,3031.469,9651.59,NA,NA,22.542,31
"32","COL","Colombia",2019,-2.235,-15.05,5.425,63.042,13.393,27.679,71.585,81.03,1422.061,658.29,13077.145,4.079,32
"33","ESP","Spain",2019,-97.386,-10.479,4.753,-54.606,3.671,-70.191,58.349,280.46,1248.453,0.281,6.018,13.108,33
"34","ISR","Israel",2019,NA,NA,29.447,6.19,18.598,3.391,58.173,2483.163,6828.577,NA,NA,21.154,34
"35","BGR","Bulgaria",2019,-7.567,-4.637,43.058,-8.693,27.913,-5.515,57.932,2664.034,8276.002,56.643,8091.818,18.648,35
"36","ROU","Romania",2019,-8.428,-4.022,22.534,-10.749,13.973,-6.409,53.213,691.811,2747.888,43.694,2256.357,13.397,36
"37","FIN","Finland",2019,NA,NA,6.8,-16.607,13.331,-8.094,40.648,844.336,7347.811,NA,NA,4.671,37
"38","BGD","Bangladesh",2019,NA,NA,1.729,41.032,8.209,11.664,40.092,9.518,245.892,NA,NA,1.552,38
"39","EST","Estonia",2019,NA,NA,6.614,-29.314,59.052,-16.236,39.152,377.605,29526.289,NA,NA,0.501,39
"40","GRC","Greece",2019,-25.057,-12.457,25.145,-27.568,12.104,-14.66,38.516,1205.275,3677.676,37.259,3557.618,12.623,40
"41","BEL","Belgium",2019,0,NA,0.097,-2.05,4.701,-0.741,35.422,7.878,3069.795,NA,NA,0.091,41
"42","AUT","Austria",2019,0,NA,2.181,5.232,8.39,1.738,34.956,178.872,3903.517,NA,NA,1.602,42
"43","SVK","Slovakia",2019,NA,NA,7.868,-17.768,17.373,-6.854,31.72,428.82,5812.805,NA,NA,2.34,43
"44","ARE","United Arab Emirates",2019,NA,NA,0,2.17,2.133,0.608,28.613,0,2928.331,NA,NA,0,44
"45","SWE","Sweden",2019,0,NA,0.19,2.164,3.779,0.498,23.531,32.084,2344.648,NA,NA,0.322,45
"46","EGY","Egypt",2019,NA,NA,0,-7.765,2.139,-1.944,23.094,0,230.049,NA,NA,0,46
"47","HUN","Hungary",2019,18.063,2.67,13.443,-11.345,7.925,-2.798,21.867,471.054,2257.813,17.455,1802.282,4.562,47
"48","UZB","Uzbekistan",2019,-2.914,-0.397,18.079,-14.523,4.076,-3.431,20.193,344.785,612.254,13.233,401.216,11.372,48
"49","LKA","Sri Lanka",2019,NA,NA,31.506,10.291,17.579,1.634,17.511,239.027,821.202,NA,NA,5.097,49
"50","NZL","New Zealand",2019,-5.84,-1.306,6.317,14.228,6.77,2.147,17.235,588.927,3603.389,21.067,4404.459,2.817,50
"51","PRT","Portugal",2019,0,NA,11.616,-49.431,5.528,-15.654,16.015,609.843,1566.059,NA,NA,6.236,51
"52","IRN","Iran",2019,0,NA,0.197,-6.681,0.419,-1.029,14.369,7.556,173.302,NA,NA,0.626,52
"53","MKD","North Macedonia",2019,NA,NA,58.446,22.04,39.51,2.217,12.279,1646.984,5894.691,NA,NA,3.431,53
"54","SVN","Slovenia",2019,NA,NA,28.504,-6.789,15.364,-0.871,11.961,2167.144,5753.264,NA,NA,4.505,54
"55","IRL","Ireland",2019,0,NA,6.77,-32.01,6.054,-5.251,11.154,426.011,2284.672,NA,NA,2.08,55
"56","BLR","Belarus",2019,NA,NA,0,6.661,3.734,0.685,10.968,0,1160.426,NA,NA,0,56
"57","DNK","Denmark",2019,0,NA,15.112,-41.83,5.577,-7.762,10.794,797.938,1870.055,NA,NA,4.606,57
"58","NOR","Norway",2019,0,NA,0,0.619,1.905,0.057,9.348,0,1737.875,NA,NA,0,58
"59","SGP","Singapore",2019,NA,NA,0,30.819,0.737,1.711,7.263,0,1251.432,NA,NA,0,59
"60","ARG","Argentina",2019,0,NA,0.508,-53.697,0.66,-7.361,6.348,15.865,141.75,NA,NA,0.71,60
