"","continent","year","energy_type","meanconsmp","logmeanconsmp"
"111","Americas",1965,"fossil",1472.44036363636,7.29467641462842
"112","Americas",1965,"low_carbon",96.3928181818182,4.56843169865262
"113","Americas",1966,"fossil",1556.94572727273,7.35048131398352
"114","Americas",1966,"low_carbon",101.732181818182,4.62234369172186
"115","Americas",1967,"fossil",1607.10481818182,7.38218958961028
"116","Americas",1967,"low_carbon",110.774909090909,4.70750029642089
"117","Americas",1968,"fossil",1710.244,7.44439132937593
"118","Americas",1968,"low_carbon",114.552727272727,4.74103521719511
"119","Americas",1969,"fossil",1797.07490909091,7.49391557155242
"120","Americas",1969,"low_carbon",126.829,4.84283972247836
"121","Americas",1970,"fossil",1864.76636363636,7.53089105004083
"122","Americas",1970,"low_carbon",133.127,4.89130355982502
"123","Americas",1971,"fossil",1900.87572727273,7.55006996805947
"124","Americas",1971,"low_carbon",145.795818181818,4.98220713728269
"125","Americas",1972,"fossil",2001.74963636364,7.6017768952935
"126","Americas",1972,"low_carbon",160.54,5.07854313270343
"127","Americas",1973,"fossil",2090.603,7.64520782009232
"128","Americas",1973,"low_carbon",176.585090909091,5.17380286166771
"129","Americas",1974,"fossil",2041.48245454545,7.62143151632909
"130","Americas",1974,"low_carbon",199.922272727273,5.29792865464572
"131","Americas",1975,"fossil",1984.43681818182,7.59309043406541
"132","Americas",1975,"low_carbon",214.872727272727,5.37004588667315
"133","Americas",1976,"fossil",2100.59009090909,7.64997357991062
"134","Americas",1976,"low_carbon",224.229454545455,5.41266987821527
"135","Americas",1977,"fossil",2168.78663636364,7.68192313640027
"136","Americas",1977,"low_carbon",232.217727272727,5.44767541119346
"137","Americas",1978,"fossil",2168.625,7.68184860514649
"138","Americas",1978,"low_carbon",262.681909090909,5.57094382904004
"139","Americas",1979,"fossil",2215.79136363636,7.7033648934512
"140","Americas",1979,"low_carbon",266.336818181818,5.58476174155005
"141","Americas",1980,"fossil",2159.27490909091,7.67752775408594
"142","Americas",1980,"low_carbon",271.416363636364,5.60365403901121
"143","Americas",1981,"fossil",2100.04063636364,7.64971197417364
"144","Americas",1981,"low_carbon",280.652636363636,5.63711773512152
"145","Americas",1982,"fossil",2010.75863636364,7.60626736087063
"146","Americas",1982,"low_carbon",296.653090909091,5.69256341203042
"147","Americas",1983,"fossil",1984.99054545455,7.59336943011476
"148","Americas",1983,"low_carbon",314.709454545455,5.75164984666151
"149","Americas",1984,"fossil",2085.28081818182,7.64265881014298
"150","Americas",1984,"low_carbon",335.702363636364,5.81622494487977
"151","Americas",1985,"fossil",2083.70590909091,7.64190327443666
"152","Americas",1985,"low_carbon",353.584909090909,5.86812365194244
"153","Americas",1986,"fossil",2092.34063636364,7.64603864001945
"154","Americas",1986,"low_carbon",370.123545454545,5.91383685653776
"155","Americas",1987,"fossil",2166.97927272727,7.68108943652858
"156","Americas",1987,"low_carbon",378.390363636364,5.93592637077619
"157","Americas",1988,"fossil",2260.724,7.72344039494625
"158","Americas",1988,"low_carbon",392.94,5.97365692845802
"159","Americas",1989,"fossil",2307.13081818182,7.74375996145635
"160","Americas",1989,"low_carbon",404.821272727273,6.00344566779623
"161","Americas",1990,"fossil",2289.192,7.73595419585821
"162","Americas",1990,"low_carbon",435.358,6.07616868112508
"163","Americas",1991,"fossil",2279.30672727273,7.7316266087251
"164","Americas",1991,"low_carbon",456.592363636364,6.12379100955015
"165","Americas",1992,"fossil",2337.87390909091,7.75699720947884
"166","Americas",1992,"low_carbon",454.878,6.12002925112904
"167","Americas",1993,"fossil",2382.85890909091,7.77605626808235
"168","Americas",1993,"low_carbon",472.418545454545,6.15786534150044
"169","Americas",1994,"fossil",2445.90209090909,7.80216928719948
