"","coal_share_energy","gas_share_energy","nuclear_share_energy","hydro_share_energy","renewables_share_energy","oil_share_energy","country","continent"
"198",NA,NA,NA,NA,NA,NA,"Somalia","Africa"
"199",NA,NA,NA,NA,NA,NA,"South & Central America",NA
"200",69.671,3.081,2.209,0.145,1.27,23.746,"South Africa","Africa"
"201",30.122,13.845,12.641,0.165,1.163,42.229,"South Korea","Asia"
"202",NA,NA,NA,NA,NA,NA,"South Sudan","Africa"
"203",10.21,18.304,9.298,4.566,16.493,45.694,"Spain","Europe"
"204",17.831,0,0,18.721,20.127,62.041,"Sri Lanka","Asia"
"205",NA,NA,NA,NA,NA,NA,"Sudan","Africa"
"206",NA,NA,NA,NA,NA,NA,"Suriname","Americas"
"207",3.882,1.544,23.582,31.519,44.85,26.141,"Sweden","Europe"
"208",0.442,10.134,17.975,29.57,31.757,39.512,"Switzerland","Europe"
"209",NA,NA,NA,NA,NA,NA,"Syria","Asia"
"210",34.421,15.234,6.965,0.854,1.682,41.697,"Taiwan","Asia"
"211",NA,NA,NA,NA,NA,NA,"Tajikistan","Asia"
"212",NA,NA,NA,NA,NA,NA,"Tanzania","Africa"
"213",14.005,34.973,0,0.653,3.719,47.302,"Thailand","Asia"
"214",NA,NA,NA,NA,NA,NA,"Timor","Asia"
"215",NA,NA,NA,NA,NA,NA,"Togo","Africa"
"216",NA,NA,NA,NA,NA,NA,"Tonga","Oceania"
"217",0,88.19,0,0,0.006,11.804,"Trinidad and Tobago","Americas"
"218",NA,NA,NA,NA,NA,NA,"Tunisia","Africa"
"219",25.414,28.909,0,10.685,13.312,32.289,"Turkey","Asia"
"220",0,76.276,0,0.002,0.006,23.718,"Turkmenistan","Asia"
"221",NA,NA,NA,NA,NA,NA,"Turks and Caicos Islands","Americas"
"222",NA,NA,NA,NA,NA,NA,"Uganda","Africa"
"223",32.242,32.432,22.475,1.384,1.822,10.988,"Ukraine","Europe"
"224",1.601,57.431,0,0,0.065,40.904,"United Arab Emirates","Asia"
"225",11.911,31.978,7.899,0.707,9.853,38.359,"United Kingdom","Europe"
"226",16.912,29.05,8.293,2.436,7.047,38.698,"United States","Americas"
"227",NA,NA,NA,NA,NA,NA,"United States Pacific Islands",NA
"228",NA,NA,NA,NA,NA,NA,"United States Virgin Islands","Americas"
"229",NA,NA,NA,NA,NA,NA,"Uruguay","Americas"
"230",3.088,88.269,0,2.901,2.901,5.742,"Uzbekistan","Asia"
"231",NA,NA,NA,NA,NA,NA,"Vanuatu","Oceania"
"232",0.173,40.472,0,20.289,20.292,39.063,"Venezuela","Americas"
"233",37.935,12.789,0,17.981,18.061,31.214,"Vietnam","Asia"
"234",NA,NA,NA,NA,NA,NA,"Western Africa",NA
"235",NA,NA,NA,NA,NA,NA,"Western Sahara","Africa"
"236",29.059,23.051,4.319,6.513,9.842,33.73,"World",NA
"237",NA,NA,NA,NA,NA,NA,"Yemen","Asia"
"238",NA,NA,NA,NA,NA,NA,"Zambia","Africa"
"239",NA,NA,NA,NA,NA,NA,"Zimbabwe","Africa"
