"","continent","year","energy_type","meanconsmp"
"144","Africa",2012,"renewable",12.368
"145","Africa",2013,"coal",267.21
"146","Africa",2013,"nuclear",9.02875
"147","Africa",2013,"renewable",13.331
"148","Africa",2014,"coal",273.56975
"149","Africa",2014,"nuclear",8.77625
"150","Africa",2014,"renewable",14.62425
"151","Africa",2015,"coal",259.81925
"152","Africa",2015,"nuclear",7.73925
"153","Africa",2015,"renewable",17.26025
"154","Africa",2016,"coal",278.7405
"155","Africa",2016,"nuclear",10.00475
"156","Africa",2016,"renewable",18.7015
"157","Africa",2017,"coal",275.2205
"158","Africa",2017,"nuclear",9.84775
"159","Africa",2017,"renewable",20.3405
"160","Africa",2018,"coal",283.832
"161","Africa",2018,"nuclear",6.891
"162","Africa",2018,"renewable",23.0745
"163","Africa",2019,"coal",291.45375
"164","Africa",2019,"nuclear",8.79925
"165","Africa",2019,"renewable",25.73275
"166","Americas",1965,"coal",316.228454545455
"167","Americas",1965,"nuclear",1.00436363636364
"168","Americas",1965,"renewable",95.3884545454546
"169","Americas",1966,"coal",330.258636363636
"170","Americas",1966,"nuclear",1.51072727272727
"171","Americas",1966,"renewable",100.221454545455
"172","Americas",1967,"coal",324.842454545455
"173","Americas",1967,"nuclear",2.07354545454545
"174","Americas",1967,"renewable",108.701454545455
"175","Americas",1968,"coal",336.554181818182
"176","Americas",1968,"nuclear",3.56209090909091
"177","Americas",1968,"renewable",110.990636363636
"178","Americas",1969,"coal",337.812
"179","Americas",1969,"nuclear",3.83581818181818
"180","Americas",1969,"renewable",122.993090909091
"181","Americas",1970,"coal",336.946636363636
"182","Americas",1970,"nuclear",6.05790909090909
"183","Americas",1970,"renewable",127.069181818182
"184","Americas",1971,"coal",318.965636363636
"185","Americas",1971,"nuclear",11.2063636363636
"186","Americas",1971,"renewable",134.589545454545
"187","Americas",1972,"coal",330.120272727273
"188","Americas",1972,"nuclear",16.1992727272727
"189","Americas",1972,"renewable",144.340727272727
"190","Americas",1973,"coal",353.663727272727
"191","Americas",1973,"nuclear",26.0421818181818
"192","Americas",1973,"renewable",150.542909090909
"193","Americas",1974,"coal",346.955272727273
"194","Americas",1974,"nuclear",34.2693636363636
"195","Americas",1974,"renewable",165.653
